analysis_id,9n0tmdqx24qm6fy
gene_symbol,Zmynd19
parameter_name,Total NK cells - % of CD45+
pvalue,0.1632739
parameter_id,MGP_MLN_031_001
gene_accession_id,MGI:1914437
mouse_life_stage,Early adult
mouse_strain,C57BL
