analysis_id,k91uxk02529mq29
gene_symbol,Ubxn11
mouse_strain,C57BL
pvalue,0.4972378
mouse_life_stage,Early adult
parameter_name,CD4+ KLRG1+ alpha beta T cell number
gene_accession_id,MGI:1914836
parameter_id,MGP_PBI_032_001
