analysis_id,84a8uq933d6to5b
gene_accession_id,MGI:1917810
gene_symbol,Wars2
parameter_name,Neutrophil percentage
mouse_strain,C57BL
pvalue,0.7471046
parameter_id,MGP_PBI_019_001
mouse_life_stage,E12.5
