analysis_id,7y35jw5186n7ai1
mouse_life_stage,Early adult
pvalue,0.9406914
gene_symbol,Slx4ip
parameter_name,Hindlimbs - shape
mouse_strain,C57BL
parameter_id,JAXLA_CSD_021_001
gene_accession_id,MGI:1921493
