analysis_id,4fapozxhp134dxq
gene_symbol,Tnfsf10
gene_accession_id,MGI:107414
mouse_life_stage,Early adult
parameter_name,Periphery average speed
parameter_id,IMPC_OFD_013_001
pvalue,0.3088997
mouse_strain,C57BL
