analysis_id,x8h410jz4qoy8d7
pvalue,0.6060643
parameter_name,Prepulse inhibition - PP3
gene_accession_id,MGI:88174
parameter_id,ESLIM_011_001_703
mouse_life_stage,E15.5
gene_symbol,Bmi1
mouse_strain,C57BL
