analysis_id,l6w17l1r41i0331
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1916043
parameter_id,MGP_MLN_009_001
gene_symbol,Rab3gap2
pvalue,0.7505251
parameter_name,Effector Treg cells - % of Treg
