parameter_name,Hindlimb digit - size
analysis_id,a270v9j4r37xfqj
pvalue,0.174555
gene_accession_id,MGI:1920344
gene_symbol,Sgip1
parameter_id,IMPC_CSD_047_001
mouse_life_stage,Early adult
mouse_strain,C57BL
