analysis_id,3z6l64e0414c437
gene_symbol,Inpp1
pvalue,0.141496
parameter_id,HMGULA_CBC_017_001
mouse_strain,C57BL
parameter_name,Triglycerides
gene_accession_id,MGI:104848
mouse_life_stage,Early adult
