parameter_id,JAXLA_OFD_020_001
gene_symbol,Slc17a9
gene_accession_id,MGI:1919107
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Distance travelled - total
pvalue,0.374544
analysis_id,8ca109976seqwkf
