analysis_id,a0sbbd03h63v5y2
parameter_name,Creatinine
mouse_life_stage,Middle aged adult
pvalue,0.4798874
mouse_strain,C57BL
gene_symbol,AU040320
parameter_id,HMGULA_CBC_005_001
gene_accession_id,MGI:2140475
