parameter_name,HR
mouse_strain,C57BL
analysis_id,k5752u53l8n6370
gene_symbol,Dnaaf9
gene_accession_id,MGI:1923029
pvalue,0.8374434
parameter_id,JAXLA_ECG_002_001
mouse_life_stage,Early adult
