analysis_id,04zs966d8t1012r
mouse_strain,C57BL
pvalue,0.3007204
parameter_id,IMPC_CBC_016_001
parameter_name,HDL-cholesterol
gene_accession_id,MGI:1920344
gene_symbol,SGIP1
mouse_life_stage,Early adult
