parameter_id,IMPC_ECH_018_001
gene_symbol,Casq1
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Respiration Rate
pvalue,0.5429645
gene_accession_id,MGI:1309468
analysis_id,yiy370b6k5kj083
