parameter_name,Aggression
analysis_id,6c52ji7qgj76568
gene_accession_id,MGI:894679
mouse_life_stage,Early adult
pvalue,0.1709988
mouse_strain,C57BL
gene_symbol,Bach2
parameter_id,IMPC_CSD_079_001
