gene_symbol,Ilkap
mouse_life_stage,Early adult
parameter_id,MGP_MLN_063_001
gene_accession_id,MGI:1914694
pvalue,0.2798199
parameter_name,Total ab T cells - % of CD45+
mouse_strain,C57BL
analysis_id,52dft3tck57lbv6
