parameter_name,Prepulse inhibition - PP2
gene_symbol,Zfp683
pvalue,0.2363751
mouse_life_stage,Early adult
parameter_id,ESLIM_011_001_702
gene_accession_id,MGI:3650254
mouse_strain,C57BL
analysis_id,f7w86ug44l086jy
