parameter_name,Heart weight
mouse_life_stage,Early adult
gene_accession_id,MGI:99605
pvalue,0.5571019
parameter_id,HMGULA_HWT_008_001
gene_symbol,Cntfr
analysis_id,9h34mu851eqzni3
mouse_strain,C57BL
