analysis_id,wd25klot033m15a
pvalue,0.4987869
gene_accession_id,MGI:2651854
gene_symbol,Atg4c
parameter_name,Lumbar processes
parameter_id,IMPC_XRY_065_001
mouse_life_stage,Early adult
mouse_strain,C57BL
