gene_symbol,Dcaf12
pvalue,0.6912675
analysis_id,hh09ahp6x7210ng
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
parameter_id,MGP_IMM_017_001
mouse_strain,C57BL
gene_accession_id,MGI:1916220
mouse_life_stage,Early adult
