parameter_name,Distance travelled - total
parameter_id,HRWLLA_OFD_020_001
mouse_strain,C57BL
gene_symbol,Zc2hc1a
gene_accession_id,MGI:1914556
pvalue,0.7582415
mouse_life_stage,Early adult
analysis_id,mq7l01yz15y9sc4
