analysis_id,45sk3x5nh24z91e
gene_symbol,Steap3
parameter_id,ESLIM_011_001_705
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Global prepulse inhibition
gene_accession_id,MGI:1915678
pvalue,0.1253661
