analysis_id,56x02yd2hy8qbln
mouse_life_stage,Early adult
parameter_name,Percentage center time
mouse_strain,C57BL
pvalue,0.6287836
parameter_id,JAX_OFD_022_001
gene_accession_id,MGI:1915325
gene_symbol,Lurap1
