parameter_name,Response amplitude - S
mouse_life_stage,Early adult
gene_symbol,Slc30a4
analysis_id,19t9nh9td41aef0
pvalue,0.6027015
parameter_id,IMPC_ACS_006_001
gene_accession_id,MGI:1345282
mouse_strain,C57BL
