analysis_id,0046w0945bvi7l4
parameter_id,MGP_MLN_031_001
mouse_life_stage,Early adult
parameter_name,Total NK cells - % of CD45+
gene_accession_id,MGI:88461
gene_symbol,Col6a3
pvalue,0.8214195
mouse_strain,C57BL
