parameter_name,Limb grasp
parameter_id,IMPC_CSD_039_001
gene_symbol,Stk35
analysis_id,vqq1yc50rza6s6t
pvalue,0.5958674
gene_accession_id,MGI:1914583
mouse_life_stage,Early adult
mouse_strain,C57BL
