gene_symbol,Clvs1
mouse_life_stage,Early adult
parameter_id,MGP_PBI_030_001
gene_accession_id,MGI:1921688
pvalue,0.578555
mouse_strain,C57BL
analysis_id,iq27t170t6uxw31
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
