parameter_name,B1B Cells
parameter_id,IMPC_IMM_064_001
gene_symbol,Cdin1
mouse_life_stage,Early adult
pvalue,0.2932559
analysis_id,14cxy2h6il4e2ah
gene_accession_id,MGI:3026886
mouse_strain,C57BL
