parameter_name,Blood Vessel Morphology
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,7pc72437h9hw1h2
gene_accession_id,MGI:3588214
pvalue,0.1959679
parameter_id,IMPC_GEO_011_001
gene_symbol,Rufy4
