analysis_id,ex1036ahp634f5e
gene_accession_id,MGI:1919935
parameter_id,IMPC_HEM_030_001
mouse_life_stage,Early adult
pvalue,0.2210278
parameter_name,Neutrophil cell count
gene_symbol,Dnajc6
mouse_strain,C57BL
