analysis_id,6ip128td74b2y9r
mouse_strain,C57BL
parameter_id,IMPC_CBC_012_001
gene_symbol,Cds2
mouse_life_stage,Early adult
pvalue,0.5234021
parameter_name,Aspartate aminotransferase
gene_accession_id,MGI:1332236
