mouse_strain,C57BL
parameter_name,KLRG1+ gd T cells - % of CD45+
parameter_id,MGP_IMM_089_001
analysis_id,66qh1s3zgz55mba
gene_accession_id,MGI:2444421
mouse_life_stage,Early adult
pvalue,0.5663319
gene_symbol,Gbp7
