parameter_name,Creatinine
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_005_001
gene_accession_id,MGI:2444113
mouse_strain,C57BL
gene_symbol,Nemp2
analysis_id,2tw5mfn37335fi9
pvalue,0.6956363
