parameter_name,Vibrissae - appearance
parameter_id,HMGULA_DYS_024_001
analysis_id,0lp3vs835z46r7z
gene_accession_id,MGI:1328306
gene_symbol,Orc2
mouse_life_stage,E9.5
mouse_strain,C57BL
pvalue,0.5382092
