parameter_id,IMPC_OWT_004_001
parameter_name,Right kidney weight
pvalue,0.6196997
gene_accession_id,MGI:104805
analysis_id,60mpjok3ray80u0
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Snrpb2
