parameter_name,cDCs CD11b Type
gene_accession_id,MGI:109384
analysis_id,f23dwoiw7q01yp5
gene_symbol,Atf3
mouse_strain,C57BL
pvalue,0.6235879
parameter_id,IMPC_IMM_073_001
mouse_life_stage,Early adult
