analysis_id,tt7k48nedq1gtz4
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_BMI_019_001
gene_accession_id,MGI:88328
gene_symbol,Tnfsf8
parameter_name,T cells - % of CD45+
pvalue,0.9098621
