analysis_id,fk8r65a0062444a
parameter_id,MGP_CSD_067_001
gene_accession_id,MGI:1923959
gene_symbol,Arpc2
mouse_life_stage,Early adult
parameter_name,Snout size
pvalue,0.6816112
mouse_strain,129SV
