analysis_id,64f046vuamcz516
pvalue,0.0753671
parameter_id,MGP_IMM_094_001
gene_symbol,Arnt
mouse_strain,C57BL
gene_accession_id,MGI:88071
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
mouse_life_stage,Early adult
