gene_symbol,Snap23
analysis_id,2fwsa023ui0j28j
parameter_name,UIBC (unsaturated iron binding capacity)
gene_accession_id,MGI:109356
mouse_life_stage,Late adult
pvalue,0.6133115
parameter_id,IMPC_CBC_024_001
mouse_strain,C57BL
