analysis_id,87o8hen312288dl
mouse_strain,C57BL
gene_accession_id,MGI:109356
pvalue,0.6017629
parameter_id,M-G-P_016_001_001
parameter_name,White blood cell-count
gene_symbol,Snap23
mouse_life_stage,Late adult
