analysis_id,68oogc26rx165y0
gene_accession_id,MGI:2448481
mouse_strain,C57BL
parameter_name,Snout size
mouse_life_stage,Early adult
pvalue,0.3990825
gene_symbol,Mgst2
parameter_id,IMPC_CSD_028_001
