analysis_id,53d72z39q411416
parameter_name,Clavicle
mouse_strain,C57BL
pvalue,0.3525304
gene_accession_id,MGI:1913105
parameter_id,IMPC_XRY_007_001
gene_symbol,Slc28a2
mouse_life_stage,Early adult
