analysis_id,r759r00275g51ui
parameter_name,End-Systolic Diameter
mouse_strain,C57BL
parameter_id,IMPC_ECH_001_001
gene_accession_id,MGI:2446186
mouse_life_stage,E18.5
gene_symbol,Lpgat1
pvalue,0.636503
