analysis_id,j35o509x7x103nt
parameter_id,JAX_OFD_010_001
mouse_strain,C57BL
parameter_name,Periphery distance travelled
mouse_life_stage,E12.5
gene_accession_id,MGI:99501
pvalue,0.1895784
gene_symbol,Fgb
