parameter_name,Alkaline phosphatase
parameter_id,IMPC_CBC_014_001
analysis_id,rn3c6y2dn340a43
pvalue,0.5544326
mouse_life_stage,Early adult
gene_accession_id,MGI:1922855
gene_symbol,Kdm5b
mouse_strain,C57BL
