analysis_id,r88uao2abs06xcu
mouse_strain,C57BL
gene_accession_id,MGI:1914061
parameter_id,IMPC_DXA_007_001
parameter_name,BMC/Body weight
pvalue,0.6668975
mouse_life_stage,Early adult
gene_symbol,Duoxa2
