parameter_id,JAXLA_OFD_020_001
gene_accession_id,MGI:2444777
mouse_strain,C57BL
parameter_name,Distance travelled - total
pvalue,0.8120306
gene_symbol,Ncaph
mouse_life_stage,Early adult
analysis_id,033q5c0bn7lt2f3
