parameter_id,JAX_PLC_002_001
mouse_life_stage,Late adult
gene_symbol,Hpca
gene_accession_id,MGI:1336200
pvalue,0.5679125
parameter_name,HDL cholesterol
mouse_strain,C57BL
analysis_id,iq789l8780sn5zk
