analysis_id,8cav2ea600os4mc
parameter_id,IMPC_IMM_071_001
gene_accession_id,MGI:109585
parameter_name,MZB (CD21/35 high)
mouse_life_stage,Early adult
pvalue,0.3585225
mouse_strain,C57BL
gene_symbol,Pld1
