parameter_name,Body Weight
gene_accession_id,MGI:88174
parameter_id,M-G-P_012_001_005
analysis_id,r7294d9187hk411
pvalue,0.9840043
gene_symbol,Bmi1
mouse_life_stage,Early adult
mouse_strain,C57BL
