parameter_name,Activity (body position)
parameter_id,IMPC_CSD_029_001
analysis_id,3w09ol24sck7gkc
gene_symbol,Rab3gap2
mouse_strain,C57BL
pvalue,0.694897
gene_accession_id,MGI:1916043
mouse_life_stage,Early adult
