gene_symbol,Sema6c
analysis_id,7s3k6uz1te5z017
pvalue,0.5305186
mouse_strain,C57BL
parameter_name,Blood Vessel Morphology
mouse_life_stage,Early adult
gene_accession_id,MGI:1338032
parameter_id,IMPC_GEO_011_001
