parameter_name,Snout size
gene_accession_id,MGI:3650254
analysis_id,93973153g42157i
pvalue,0.1688188
gene_symbol,Zfp683
mouse_strain,C57BL
parameter_id,MGP_CSD_067_001
mouse_life_stage,Early adult
