analysis_id,0942291r67132g3
parameter_name,Urea (Blood Urea Nitrogen - BUN)
pvalue,0.5578001
gene_symbol,F2
parameter_id,IMPC_CBC_004_001
gene_accession_id,MGI:88380
mouse_strain,C57BL
mouse_life_stage,Early adult
