analysis_id,m953wj93ir1gv29
mouse_life_stage,Early adult
gene_accession_id,MGI:1338032
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
mouse_strain,C57BL
pvalue,0.8341076
gene_symbol,Sema6c
parameter_id,IMPC_GRS_011_001
