parameter_name,Platelet count
analysis_id,u13s3tj854f0w34
gene_symbol,Cds2
parameter_id,IMPC_HEM_008_001
pvalue,0.8569234
mouse_life_stage,Early adult
gene_accession_id,MGI:1332236
mouse_strain,129SV
