analysis_id,612z93fh1189bbj
mouse_life_stage,Early adult
gene_symbol,Nemp2
parameter_id,IMPC_ECG_028_001
parameter_name,QT
gene_accession_id,MGI:2444113
mouse_strain,C57BL
pvalue,0.8155615
