gene_symbol,Lcn2
parameter_id,IMPC_EYE_009_001
mouse_life_stage,Early adult
gene_accession_id,MGI:96757
analysis_id,743v4e5rj6m4zjo
mouse_strain,C57BL
pvalue,0.5247049
parameter_name,Corneal vascularization
