parameter_id,MGP_IMM_131_001
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2446274
gene_symbol,Frmpd1
parameter_name,CD103+ CD11b-low cDC - % of CD45+
pvalue,0.6169119
analysis_id,5731je9iq7qc434
mouse_strain,C57BL
