parameter_name,CD8 CD44-CD62L+ T cells
analysis_id,gmndkan5fypvz4o
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_034_001
gene_accession_id,MGI:96757
gene_symbol,Lcn2
pvalue,0.5693922
mouse_strain,C57BL
