parameter_name,Aggression
parameter_id,IMPC_CSD_079_001
mouse_strain,C57BL
gene_accession_id,MGI:1924360
analysis_id,6t7f18y5trmz1t5
pvalue,0.653268
mouse_life_stage,Early adult
gene_symbol,Gpbp1l1
