parameter_name,Total cholesterol
gene_symbol,Slc39a10
gene_accession_id,MGI:1914515
mouse_strain,C57BL
analysis_id,n5a6h4bzy71i7vh
pvalue,0.2274133
mouse_life_stage,E9.5
parameter_id,HMGULA_CBC_015_001
