parameter_name,B cell percentage
mouse_strain,C57BL
gene_symbol,Dnajc5b
gene_accession_id,MGI:1913576
mouse_life_stage,Early adult
pvalue,0.6479136
analysis_id,k33du70r7zs9wxx
parameter_id,MGP_PBI_014_001
